"id","user_id","project_id","created_on","mail_notification"
1,5,3,2021-01-18 09:16:53.791,false
3,9,3,2021-01-18 09:16:53.873,false
72,22,1,2022-05-18 14:45:51.714,false
74,23,17,2022-05-19 13:53:20.391,false
75,23,2,2022-05-24 07:03:13.717,false
76,23,1,2022-06-02 09:46:28.002,false
77,23,13,2022-06-13 17:20:20.772,false
73,22,13,2022-05-18 14:46:20.010,false
67,22,3,2022-05-18 14:44:08.037,false
70,22,2,2022-05-18 14:44:08.106,false
86,22,9,2023-02-15 09:27:52.829,false
123,7,24,2023-05-24 13:45:01.603,false
125,26,24,2023-05-24 13:45:33.469,false
10,10,1,2021-02-01 13:23:32.706,false
11,9,1,2021-02-01 13:23:32.817,false
13,11,1,2021-02-01 13:23:32.846,false
14,12,1,2021-02-01 13:23:32.861,false
16,7,1,2021-02-01 13:23:32.890,false
18,5,2,2021-02-01 13:27:06.073,false
19,9,2,2021-02-01 13:27:06.093,false
21,14,2,2021-02-01 13:27:20.146,false
22,10,2,2021-02-01 13:27:20.165,false
23,12,2,2021-02-01 13:27:20.182,false
24,11,2,2021-02-01 13:27:20.198,false
26,9,7,2021-02-17 13:39:05.872,false
27,9,8,2021-03-05 07:40:07.758,false
28,11,9,2021-04-08 17:58:47.604,false
30,7,10,2021-04-22 09:46:03.749,false
31,7,11,2021-05-10 09:53:18.436,false
126,25,24,2023-05-24 13:45:33.483,false
12,13,1,2021-02-01 13:23:32.832,false
43,7,13,2022-01-14 08:20:38.158,false
92,12,9,2023-04-13 06:12:10.158,false
93,23,3,2023-04-13 06:12:21.542,false
40,19,13,2022-01-14 08:20:05.024,false
41,18,13,2022-01-14 08:20:11.159,false
79,25,2,2022-07-28 14:54:47.320,false
80,25,1,2022-07-28 14:55:14.225,false
81,25,9,2022-07-28 14:55:14.278,false
32,15,3,2021-08-13 09:58:59.634,false
104,22,19,2023-04-18 07:29:42.288,false
35,15,2,2021-08-13 09:58:59.694,false
44,15,13,2022-01-14 08:20:55.563,false
46,15,14,2022-01-31 07:37:49.785,false
48,15,6,2022-02-07 08:48:17.516,false
49,12,15,2022-02-18 14:26:07.287,false
51,7,15,2022-02-18 14:26:07.338,false
53,21,16,2022-03-03 14:51:39.813,false
