"id","name","description","homepage","is_public","parent_id","created_on","updated_on","identifier","status","lft","rgt","inherit_members","default_version_id","default_assigned_to_id"
1,"Project1","Project 1","",True,NULL,"2021-01-11 11:24:49.882007","2021-01-13 10:37:24.571155","project1",1,15,16,False,NULL,NULL
2,"Project2","Project 2","",True,NULL,"2021-01-13 10:36:03.065701","2021-01-13 10:36:03.065701","project2",1,3,4,False,NULL,NULL
3,"Project3","Project 3","",True,NULL,"2021-01-13 10:38:25.529647","2021-02-17 13:38:10.076965","project3",1,9,14,False,NULL,NULL
4,"Project4","Project 4","",True,NULL,"2021-01-15 08:57:26.668298","2021-01-15 08:57:26.668298","project4",1,67,74,False,NULL,NULL
5,"Project5","Project 5","",True,4,"2021-01-18 08:56:28.814659","2021-01-25 06:52:10.355337","project5",1,68,69,False,NULL,NULL
6,"Project6","Project 6","",True,NULL,"2021-01-25 06:53:01.290496","2021-01-25 06:53:01.290496","project6",1,5,8,False,NULL,NULL
7,"Project7","Project 7","",True,3,"2021-02-17 13:35:36.338874","2021-02-17 13:38:22.99343","project7",1,12,13,False,NULL,NULL
8,"Project8","Project 8","https://www.helicalinsight.com/",True,3,"2021-03-05 07:39:01.886125","2021-03-05 07:39:01.886125","project8",1,10,11,False,NULL,NULL
9,"Project9","Project 9","",True,NULL,"2021-04-08 17:58:10.151175","2023-07-04 08:18:44.242356","project9",1,81,108,False,NULL,NULL
10,"Project10","Project 10","",True,NULL,"2021-04-22 09:45:49.155063","2021-04-22 09:45:49.155063","project10",1,77,78,False,NULL,NULL
11,"Project11","Project 11","",True,NULL,"2021-05-10 09:52:50.776591","2021-05-10 09:52:50.776591","project11",1,119,120,False,NULL,NULL
12,"Project12","Project 12","",True,4,"2021-10-14 13:05:26.101194","2021-10-14 13:07:16.886221","project12",1,72,73,False,NULL,NULL
13,"Project13","Project 13","",True,NULL,"2022-01-14 07:49:55.68038","2022-01-14 07:54:41.81975","project13",1,53,56,False,NULL,NULL
14,"Project14","Project 14","",True,4,"2022-01-31 07:35:00.983493","2022-01-31 07:35:00.983493","project14",1,70,71,False,NULL,NULL
15,"Project15","Project 15","",True,NULL,"2022-02-18 14:25:41.905546","2022-02-18 14:25:41.905546","project15",1,79,80,False,NULL,NULL
16,"Project16","Project 16","",True,9,"2022-03-03 14:51:23.753357","2023-07-04 19:09:22.799237","project16",1,86,87,False,NULL,NULL
17,"Project17","Project 17","",True,NULL,"2022-04-19 10:45:06.61897","2022-04-19 10:45:06.61897","project17",1,49,50,False,NULL,NULL
18,"Project18","Project 18","",True,NULL,"2022-09-26 11:31:54.758019","2022-09-26 11:31:54.758019","project18",1,31,38,False,NULL,NULL
19,"Project19","Project 19","",True,NULL,"2023-04-18 07:27:42.320611","2023-04-18 07:27:42.320611","project19",1,19,20,False,NULL,NULL
20,"Project20","Project 20","",True,NULL,"2023-04-20 14:42:37.588475","2023-04-20 14:42:37.588475","project20",1,65,66,False,NULL,NULL
21,"Project21","Project 21","",True,13,"2023-05-09 07:53:33.917339","2023-05-09 07:53:33.917339","project21",1,54,55,False,NULL,NULL
22,"Project22","Project 22","",True,NULL,"2023-05-24 13:41:37.453288","2023-05-24 13:41:37.453288","project22",1,109,118,False,NULL,NULL
23,"Project23","Project 23","",True,22,"2023-05-24 13:42:26.775461","2023-05-24 13:42:26.775461","project23",1,112,113,False,NULL,NULL
24,"Project24","Project 24","",True,22,"2023-05-24 13:42:54.583444","2023-05-24 13:42:54.583444","project24",1,114,115,False,NULL,NULL
25,"Project25","Project 25","",True,NULL,"2023-05-30 07:13:06.240199","2023-05-30 07:13:06.240199","project25",1,59,60,False,NULL,NULL
26,"Project26","Project 26","",True,18,"2023-06-22 05:16:18.776524","2023-06-22 05:16:18.776524","project26",1,32,33,False,NULL,NULL
27,"Project27","Project 27","",True,18,"2023-06-22 05:18:14.382762","2023-06-22 05:18:14.382762","project27",1,36,37,False,NULL,NULL
28,"Project28","Project 28","",True,18,"2023-07-03 09:52:57.573504","2023-07-03 09:52:57.573504","project28",1,34,35,False,NULL,NULL
29,"Project29","Project 29","",True,9,"2023-07-04 08:20:02.076612","2023-07-04 08:20:02.076612","project29",1,96,97,False,NULL,NULL
30,"Project30","Project 30","",True,9,"2023-07-04 08:21:59.702521","2023-07-04 08:23:01.914941","project30",1,98,99,False,NULL,NULL
31,"Project31","Project 31","",True,9,"2023-07-04 19:06:33.032115","2023-07-04 19:06:33.032115","project31",1,100,101,False,NULL,NULL
32,"Project32","Project 32","",True,9,"2023-07-04 19:07:51.473863","2023-07-04 19:07:51.473863","project32",1,102,103,False,NULL,NULL
33,"Project33","Project 33","",True,9,"2023-07-04 19:15:00.519248","2023-07-04 19:15:00.519248","project33",1,88,89,False,NULL,NULL
34,"Project34","Project 34","",True,9,"2023-07-04 19:16:08.001902","2023-07-04 19:16:08.001902","project34",1,90,91,False,NULL,NULL
35,"Project35","Project 35","",True,9,"2023-07-04 19:17:09.796656","2023-07-04 19:17:09.796656","project35",1,84,85,False,NULL,NULL
36,"Project36","Project 36","",True,9,"2023-07-04 19:18:14.215342","2023-07-04 19:18:14.215342","project36",1,92,93,False,NULL,NULL
37,"Project37","Project 37","",True,NULL,"2023-07-07 07:27:52.303712","2023-07-07 07:27:52.303712","project37",1,29,30,False,NULL,NULL
38,"Project38","Project 38","",True,9,"2023-07-07 12:45:31.346975","2023-07-07 12:46:25.573358","project38",1,106,107,False,NULL,6
39,"Project39","Project 39","",True,9,"2023-07-13 09:50:04.540211","2023-07-13 09:50:04.540211","project39",1,94,95,False,NULL,NULL
40,"Project40","Project 40","",True,9,"2023-07-28 07:48:44.493203","2023-07-28 07:50:30.520122","project40",1,104,105,False,NULL,NULL
41,"Project41","Project 41","",True,9,"2023-09-12 07:34:55.832366","2023-09-12 07:34:55.832366","project41",1,82,83,False,NULL,NULL
42,"Project42","Project 42","",True,NULL,"2023-10-24 12:45:49.953053","2023-10-24 12:45:49.953053","project42",1,61,62,False,NULL,NULL
43,"Project43","Project 43","",True,NULL,"2023-10-24 12:50:59.918009","2023-10-24 12:50:59.918009","project43",1,21,22,False,NULL,NULL
44,"Project44","Project 44","",True,NULL,"2023-11-02 12:54:39.363126","2023-11-02 12:54:39.363126","project44",1,57,58,False,NULL,NULL
45,"Project45","Project 45","",False,NULL,"2023-11-27 09:49:11.71626","2023-11-27 09:49:11.71626","project45",1,41,42,False,NULL,NULL
46,"Project46","Project 46","",True,NULL,"2024-01-15 09:56:29.144109","2024-01-15 09:56:29.144109","project46",1,27,28,False,NULL,NULL
47,"Project47","Project 47","",True,NULL,"2024-01-15 12:35:05.09628","2024-01-15 12:35:05.09628","project47",1,1,2,False,NULL,NULL
48,"Project48","Project 48","",True,NULL,"2024-02-05 12:21:18.509914","2024-02-05 12:21:18.509914","project48",1,17,18,False,NULL,NULL
