"id","project_id","user_id","issue_id","hours","comments","activity_id","spent_on","tyear","tmonth","tweek","created_on","updated_on","author_id"
2,2,6,NULL,8,"Comment 2",3,"2021-01-04",2021,1,1,"2021-01-18 08:53:35.311841","2021-01-18 08:53:35.311841",6
3,2,6,NULL,8,"Comment 3",3,"2021-01-05",2021,1,1,"2021-01-18 08:53:51.972608","2021-01-18 08:53:51.972608",6
4,2,6,NULL,8,"Comment 4",3,"2021-01-06",2021,1,1,"2021-01-18 08:54:04.171827","2021-01-18 08:54:04.171827",6
5,2,6,NULL,8,"Comment 5",3,"2021-01-07",2021,1,1,"2021-01-18 08:54:14.254918","2021-01-18 08:54:14.254918",6
6,2,6,NULL,8,"Comment 6",3,"2021-01-08",2021,1,1,"2021-01-18 08:54:27.962548","2021-01-18 08:54:27.962548",6
7,5,6,NULL,8,"Comment 7",8,"2021-01-11",2021,1,2,"2021-01-18 08:57:15.408699","2021-01-18 08:57:55.245523",6
8,5,6,NULL,8,"Comment 8",8,"2021-01-12",2021,1,2,"2021-01-18 08:57:33.315926","2021-01-18 08:57:33.315926",6
9,5,6,NULL,8,"Comment 9",8,"2021-01-13",2021,1,2,"2021-01-18 08:59:49.109964","2021-01-18 08:59:49.109964",6
10,5,6,NULL,8,"Comment 10",8,"2021-01-14",2021,1,2,"2021-01-18 09:00:06.489157","2021-01-18 09:00:06.489157",6
11,5,6,NULL,4,"Comment 11",8,"2021-01-15",2021,1,2,"2021-01-18 09:00:36.254095","2021-01-18 09:00:52.850638",6
12,2,6,NULL,4,"Comment 12",8,"2021-01-15",2021,1,2,"2021-01-18 09:18:24.573293","2021-01-18 09:18:24.573293",6
13,6,6,NULL,8,"Comment 13",8,"2021-01-18",2021,1,3,"2021-01-25 06:54:10.980234","2021-01-25 06:54:58.920013",6
14,6,6,NULL,8,"Comment 14",8,"2021-01-19",2021,1,3,"2021-01-25 06:54:23.701442","2021-01-25 06:54:49.058324",6
15,6,6,NULL,8,"Comment 15",8,"2021-01-20",2021,1,3,"2021-01-25 06:56:06.809811","2021-01-25 06:56:06.809811",6
16,6,6,NULL,8,"Comment 16",8,"2021-01-21",2021,1,3,"2021-01-25 06:56:22.024176","2021-01-25 06:56:22.024176",6
17,6,6,NULL,8,"Comment 17",8,"2021-01-22",2021,1,3,"2021-01-25 06:57:14.508183","2021-01-25 06:57:14.508183",6
18,5,9,1,4,"Comment 18",8,"2021-01-28",2021,1,4,"2021-01-28 13:23:19.914223","2021-01-28 13:23:19.914223",9
19,6,6,NULL,7,"Comment 19",8,"2021-01-25",2021,1,4,"2021-02-01 07:08:59.945711","2021-02-01 07:08:59.945711",6
20,6,6,NULL,8,"Comment 20",8,"2021-01-26",2021,1,4,"2021-02-01 07:09:12.365519","2021-02-01 07:09:12.365519",6
21,6,6,NULL,8,"Comment 21",8,"2021-01-27",2021,1,4,"2021-02-01 07:09:45.128447","2021-02-01 07:09:45.128447",6
22,6,6,NULL,8,"Comment 22",8,"2021-01-28",2021,1,4,"2021-02-01 07:10:01.876538","2021-02-01 07:10:01.876538",6
23,6,6,NULL,8,"Comment 23",8,"2021-01-29",2021,1,4,"2021-02-01 07:10:20.673498","2021-02-01 07:10:20.673498",6
24,2,6,NULL,1,"Comment 24",3,"2021-01-25",2021,1,4,"2021-02-01 07:10:47.135727","2021-02-01 07:11:38.551739",6
25,5,9,2,1,"Comment 25",8,"2021-02-01",2021,2,5,"2021-02-01 08:50:23.401475","2021-02-28 19:45:18.569347",9
26,5,9,3,1,"Comment 26",8,"2021-02-01",2021,2,5,"2021-02-01 09:12:50.799983","2021-02-28 19:45:25.970676",9
27,5,9,4,1,"Comment 27",8,"2021-02-01",2021,2,5,"2021-02-01 09:16:47.986724","2021-02-28 19:45:32.686901",9
28,1,10,NULL,8,"Comment 28",1,"2021-01-19",2021,1,3,"2021-02-01 13:27:08.450831","2021-02-01 13:27:08.450831",10
29,2,6,NULL,2.5,"Comment 29",3,"2021-02-01",2021,2,5,"2021-02-01 13:31:00.365161","2021-02-02 07:57:19.343394",6
30,5,9,5,2,"Comment 30",8,"2021-02-01",2021,2,5,"2021-02-02 08:48:47.67793","2021-02-28 19:45:41.187311",9
31,5,9,6,2.5,"Comment 31",8,"2021-02-02",2021,2,5,"2021-02-02 12:41:42.886375","2021-02-02 12:41:42.886375",9
32,4,9,7,2.5,"Comment 32",8,"2021-02-02",2021,2,5,"2021-02-02 15:28:40.271344","2021-02-28 19:46:13.992907",9
33,4,9,8,1,"Comment 33",8,"2021-02-03",2021,2,5,"2021-02-03 09:32:43.082081","2021-02-03 09:32:43.082081",9
34,4,9,9,1,"Comment 34",8,"2021-02-03",2021,2,5,"2021-02-03 10:46:37.052296","2021-02-03 10:46:37.052296",9
35,4,9,10,2,"Comment 35",8,"2021-02-03",2021,2,5,"2021-02-03 14:44:36.446092","2021-02-03 14:44:36.446092",9
36,1,11,NULL,8,"Comment 36",1,"2021-01-29",2021,1,4,"2021-02-04 09:39:40.322445","2021-02-04 09:39:40.322445",11
37,1,11,NULL,8,"Comment 37",1,"2021-01-04",2021,1,1,"2021-02-04 09:41:27.594431","2021-02-04 09:41:27.594431",11
38,1,11,NULL,8,"Comment 38",1,"2021-01-05",2021,1,1,"2021-02-04 09:41:40.579651","2021-02-04 09:41:40.579651",11
39,1,11,NULL,8,"Comment 39",1,"2021-01-06",2021,1,1,"2021-02-04 09:41:53.977567","2021-02-04 09:41:53.977567",11
40,1,11,NULL,8,"Comment 40",1,"2021-01-07",2021,1,1,"2021-02-04 09:42:07.184685","2021-02-04 09:42:07.184685",11
41,1,11,NULL,8,"Comment 41",1,"2021-01-08",2021,1,1,"2021-02-04 09:42:20.956574","2021-02-04 09:42:20.956574",11
42,2,6,NULL,1,"Comment 42",3,"2021-02-02",2021,2,5,"2021-02-08 07:32:15.103762","2021-02-08 07:32:15.103762",6
43,2,6,NULL,1,"Comment 43",3,"2021-02-05",2021,2,5,"2021-02-08 07:32:53.528405","2021-02-08 07:32:53.528405",6
44,6,6,NULL,5.5,"Comment 44",8,"2021-02-01",2021,2,5,"2021-02-08 07:35:07.35023","2021-02-08 07:35:07.35023",6
45,6,6,NULL,7,"Comment 45",8,"2021-02-02",2021,2,5,"2021-02-08 07:35:18.393107","2021-02-08 07:35:51.562095",6
46,6,6,NULL,8,"Comment 46",8,"2021-02-03",2021,2,5,"2021-02-08 07:36:32.628831","2021-02-08 07:36:32.628831",6
47,6,6,NULL,8,"Comment 47",8,"2021-02-04",2021,2,5,"2021-02-08 07:37:12.145051","2021-02-08 07:37:12.145051",6
48,5,6,NULL,7,"Comment 48",8,"2021-02-05",2021,2,5,"2021-02-08 07:38:05.278715","2021-02-08 07:38:05.278715",6
49,1,10,NULL,8,"Comment 49",1,"2021-02-02",2021,2,5,"2021-02-08 10:00:51.274536","2021-02-08 10:00:51.274536",10
50,1,10,NULL,8,"Comment 50",1,"2021-02-03",2021,2,5,"2021-02-08 10:01:03.980524","2021-02-08 10:01:03.980524",10
51,1,10,NULL,8,"Comment 51",1,"2021-02-04",2021,2,5,"2021-02-08 10:01:14.148933","2021-02-08 10:01:14.148933",10
52,1,10,NULL,8,"Comment 52",1,"2021-02-05",2021,2,5,"2021-02-08 10:01:26.126129","2021-02-08 10:01:26.126129",10
53,2,6,NULL,2,"Comment 53",3,"2021-02-08",2021,2,6,"2021-02-15 07:36:50.532647","2021-02-15 07:36:50.532647",6
54,5,6,NULL,6,"Comment 54",8,"2021-02-08",2021,2,6,"2021-02-15 07:38:34.142102","2021-02-15 07:38:34.142102",6
55,5,6,NULL,8,"Comment 55",8,"2021-02-09",2021,2,6,"2021-02-15 07:39:59.901971","2021-02-15 07:39:59.901971",6
56,5,6,NULL,8,"Comment 56",8,"2021-02-10",2021,2,6,"2021-02-15 07:40:10.729494","2021-02-15 07:40:10.729494",6
57,5,6,NULL,8,"Comment 57",8,"2021-02-11",2021,2,6,"2021-02-15 07:42:03.032549","2021-02-15 07:42:03.032549",6
58,5,6,NULL,4,"Comment 58",8,"2021-02-12",2021,2,6,"2021-02-15 07:42:49.649839","2021-02-15 07:42:49.649839",6
59,2,6,NULL,4,"Comment 59",3,"2021-02-12",2021,2,6,"2021-02-15 07:43:27.070629","2021-02-15 07:43:27.070629",6
60,1,11,NULL,8,"Comment 60",1,"2021-02-15",2021,2,7,"2021-02-17 10:23:45.452325","2021-02-17 10:23:45.452325",11
61,7,9,11,6,"Comment 61",2,"2021-02-15",2021,2,7,"2021-02-18 09:32:35.622129","2021-02-18 09:32:35.622129",9
62,7,9,11,8,"Comment 62",2,"2021-02-16",2021,2,7,"2021-02-18 09:32:45.499898","2021-02-18 09:32:45.499898",9
63,7,9,11,8,"Comment 63",2,"2021-02-17",2021,2,7,"2021-02-18 09:33:17.936401","2021-02-28 19:38:26.888114",9
64,5,9,NULL,8,"Comment 64",8,"2021-02-11",2021,2,6,"2021-02-18 09:36:32.917041","2021-02-18 09:36:32.917041",9
65,5,9,NULL,8,"Comment 65",8,"2021-02-10",2021,2,6,"2021-02-18 09:37:07.733419","2021-02-18 09:37:07.733419",9
66,5,9,NULL,8,"Comment 66",8,"2021-02-09",2021,2,6,"2021-02-18 09:39:07.586879","2021-02-18 09:39:07.586879",9
67,2,9,NULL,2,"Comment 67",3,"2021-02-08",2021,2,6,"2021-02-18 09:42:29.442453","2021-02-18 09:42:29.442453",9
68,2,9,NULL,1,"Comment 68",3,"2021-02-01",2021,2,5,"2021-02-18 09:43:12.104696","2021-02-18 09:43:12.104696",9
69,5,9,NULL,8,"Comment 69",8,"2021-02-04",2021,2,5,"2021-02-18 09:45:45.525293","2021-02-18 09:45:45.525293",9
70,5,9,NULL,8,"Comment 70",8,"2021-02-05",2021,2,5,"2021-02-18 09:45:57.206755","2021-02-18 09:45:57.206755",9
71,7,9,11,8,"Comment 71",2,"2021-02-12",2021,2,6,"2021-02-18 09:48:59.671949","2021-02-18 09:48:59.671949",9
72,2,9,NULL,2,"Comment 72",3,"2021-02-15",2021,2,7,"2021-02-18 09:49:28.751108","2021-02-28 19:36:19.959239",9
73,5,9,NULL,3,"Comment 73",8,"2021-02-03",2021,2,5,"2021-02-18 09:53:10.617307","2021-02-18 09:53:10.617307",9
74,2,6,NULL,4,"Comment 74",3,"2021-02-19",2021,2,7,"2021-02-22 07:07:48.748777","2021-02-22 07:07:48.748777",6
75,5,6,NULL,4,"Comment 75",3,"2021-02-19",2021,2,7,"2021-02-22 07:08:20.291395","2021-02-22 07:08:20.291395",6
76,5,6,NULL,8,"Comment 76",8,"2021-02-18",2021,2,7,"2021-02-22 07:08:54.061865","2021-02-22 07:08:54.061865",6
77,5,6,NULL,8,"Comment 77",8,"2021-02-17",2021,2,7,"2021-02-22 07:10:47.313317","2021-02-22 07:10:47.313317",6
78,5,6,NULL,8,"Comment 78",8,"2021-02-16",2021,2,7,"2021-02-22 07:12:23.58469","2021-02-22 07:12:23.58469",6
79,2,6,NULL,2,"Comment 79",3,"2021-02-15",2021,2,7,"2021-02-22 07:13:48.848769","2021-02-22 07:13:48.848769",6
80,2,6,NULL,1,"Comment 80",3,"2021-02-15",2021,2,7,"2021-02-22 07:14:04.293955","2021-02-22 07:14:04.293955",6
81,3,6,NULL,5,"Comment 81",2,"2021-02-15",2021,2,7,"2021-02-22 07:15:41.609638","2021-02-22 07:15:41.609638",6
82,1,10,NULL,8,"Comment 82",1,"2021-02-19",2021,2,7,"2021-02-22 10:01:31.507911","2021-02-22 10:01:31.507911",10
83,2,6,NULL,3.5,"Comment 83",3,"2021-02-22",2021,2,8,"2021-02-23 07:47:36.758694","2021-02-23 07:47:36.758694",6
84,3,6,NULL,4.5,"Comment 84",2,"2021-02-22",2021,2,8,"2021-02-23 07:48:00.337537","2021-02-23 07:48:00.337537",6
85,2,6,NULL,4,"Comment 85",3,"2021-02-23",2021,2,8,"2021-02-24 07:05:16.004654","2021-02-24 07:05:16.004654",6
86,3,6,NULL,4,"Comment 86",2,"2021-02-23",2021,2,8,"2021-02-24 07:05:42.025179","2021-02-24 07:05:42.025179",6
87,1,6,NULL,8,"Comment 87",1,"2021-02-25",2021,2,8,"2021-02-24 18:11:26.597868","2021-02-24 18:11:26.597868",6
89,7,9,11,8,"Comment 89",2,"2021-02-18",2021,2,7,"2021-02-28 19:31:02.022209","2021-02-28 19:31:02.022209",9
